id,url,le_id,legislator,ad,name,county,gender,party,in_office,education,experience,image,created_at,updated_at,party_logo
23,http://vote.ly.g0v.tw/api/legislator_terms/2342/,2342,http://vote.ly.g0v.tw/api/legislator/1701/,8,王進士,屏東縣,男,中國國民黨,1,國立中山大學管理學院公共事務管理研究所碩士\世界新聞專科學校\省立屏東高中,第7屆立法委員\屏東市第13、14屆市長\國民黨屏東市黨部主委\救國團屏東縣主委\屏東縣新聞記者公會理事長\屏東扶輪社社長\屏東家扶中心、屏東縣登山會、屏東義消中隊等單位顧問,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80006.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
24,http://vote.ly.g0v.tw/api/legislator_terms/2459/,2459,http://vote.ly.g0v.tw/api/legislator/24/,8,賴振昌,全國不分區,男,臺灣團結聯盟,1,國立台灣大學商學博士,財政部台北市國稅局\德昌聯合會計師事務所合夥會計師\文化大學財金系主任、會計研究所所長兼系主任\國立台北商業技術學院校長\美國哈佛大學訪問學者（公費留學)\社會服務：\台北縣政府顧問\台北縣有線廣播電視費率審議委員\台北市會計師公會理事\國際會計師聯盟(IFAC)臺灣代表\經濟部著作權審議及調解委員\環保署廢棄物回收審查委員\財團法人立心慈善基金會董事\財團法人台灣文化基金會董事\中華民國空中教育學會理事長\中華民國商業教育學會副理事長,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81117.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/TUS.png/125px-TUS.png
25,http://vote.ly.g0v.tw/api/legislator_terms/901/,901,http://vote.ly.g0v.tw/api/legislator/645/,8,陳唐山,臺南市,男,民主進步黨,1,台灣大學畢業\美國普渡大學雙博士,美國聯邦政府商業部19年\全美台灣同鄉會會長\世界台灣同鄉會會長\FAPA第二任會長\第2、5屆立法委員\第12、13屆台南縣長\外交部長\總統府秘書長\國安會秘書長\南台大學特聘榮譽教授\長榮大學兼任教授,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80062.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/zh/thumb/c/c1/Emblem_of_Democratic_Progressive_Party_(new).svg/1024px-Emblem_of_Democratic_Progressive_Party_(new).svg.png
26,http://vote.ly.g0v.tw/api/legislator_terms/2008/,2008,http://vote.ly.g0v.tw/api/legislator/1337/,8,林淑芬,新北市,女,民主進步黨,1,,18歲，彰化北上念大學，參加學生運動\25歲當選台北縣第14屆縣議員\29歲全國第一高票當選台北縣第15屆縣議員\32歲當選立法委員\35歲連任單一選區選制下的立法委員\長期在教育文化委員會為下一代打拚,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81033.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/zh/thumb/c/c1/Emblem_of_Democratic_Progressive_Party_(new).svg/1024px-Emblem_of_Democratic_Progressive_Party_(new).svg.png
27,http://vote.ly.g0v.tw/api/legislator_terms/856/,856,http://vote.ly.g0v.tw/api/legislator/629/,8,柯建銘,全國不分區,男,民主進步黨,1,中山醫學院,淡江大學管理科學研究所研究\第2、3、4、5、6、7屆立法委員\民進黨代理主席、中常委、財委會主任委員、政策會執行長\民進黨立法院黨團總召集人、幹事長\行政院NII諮詢委員\1996年國發會經濟組代表\2001年經濟發展會議諮委員產業組代表,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80041.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/zh/thumb/c/c1/Emblem_of_Democratic_Progressive_Party_(new).svg/1024px-Emblem_of_Democratic_Progressive_Party_(new).svg.png
28,http://vote.ly.g0v.tw/api/legislator_terms/1125/,1125,http://vote.ly.g0v.tw/api/legislator/734/,8,陳其邁,全國不分區,男,民主進步黨,1,高雄中學畢業\中山醫學院醫學系畢業\臺灣大學公共衛生研究所預防醫學碩士\醫師檢覈考試及格\醫師高等考試及格,1989 長庚醫院醫師\1994 高雄醫界聯盟執行委員\1995 環境保護聯盟高雄分會執行委員\1995 當選立法委員(第3、4、5屆)\2002 受美國國務院邀請赴美訪問\2004 擔任行政院政務委員兼發言人\2005 代理高雄市市長\2006 赴英國倫敦政經院任訪問學者\2007 總統府副秘書長\2008 民進黨副秘書長\2011 民進黨政策委員會執行長兼發言人,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80059.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/zh/thumb/c/c1/Emblem_of_Democratic_Progressive_Party_(new).svg/1024px-Emblem_of_Democratic_Progressive_Party_(new).svg.png
29,http://vote.ly.g0v.tw/api/legislator_terms/2056/,2056,http://vote.ly.g0v.tw/api/legislator/1367/,8,黃偉哲,臺南市,男,民主進步黨,1,美國哈佛大學碩士\美國耶魯大學碩士\國立台灣大學學士,立法院第6、7屆立法委員\國民大會代表\台南縣議員\行政院顧問\行政院農業委員會專門委員,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80077.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/zh/thumb/c/c1/Emblem_of_Democratic_Progressive_Party_(new).svg/1024px-Emblem_of_Democratic_Progressive_Party_(new).svg.png
30,http://vote.ly.g0v.tw/api/legislator_terms/2053/,2053,http://vote.ly.g0v.tw/api/legislator/1366/,8,黃志雄,新北市,男,中國國民黨,1,國立體育大學博士班\文化大學運動教練研究所碩士\文化大學體育系國術組學士\國立華僑高中\樹林國中\文林國小,第6屆全國不分區立法委員\第7、8屆區域立法委員\中華民國第43屆十大傑出青年\國際青商會會友、扶輪社友\中國國民黨立法院黨團副書記長\立法院教育文化委員會召委\文化大學華岡青年\新北市體育會理事長\2005年中國青年救國青年將章\2004年雅典奧運跆拳道銀牌\2003年德國世界錦標賽金牌\2002年釜山亞運會跆拳道金牌\2000年雪梨奧運跆拳道銅牌,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80075.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
31,http://vote.ly.g0v.tw/api/legislator_terms/1616/,1616,http://vote.ly.g0v.tw/api/legislator/966/,8,蔡正元,臺北市,男,中國國民黨,1,美國哥倫比亞大學經濟學哲學博士研究\美國哈佛大學政府研究所碩士\政治大學企業管理研究所碩士\台灣師範大學教育學士\台北市松山工農職校,第5、6、7屆立法委員\國民黨中央常務委員\國民黨文化傳播委員會主任委員\立法院財政委員會召集委員\國民黨國民大會黨團書記長\第3屆國民大會代表\台北市雲林同鄉會常務理事\財團法人領航基金會董事長,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80094.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
32,http://vote.ly.g0v.tw/api/legislator_terms/2458/,2458,http://vote.ly.g0v.tw/api/legislator/32/,8,葉津鈴,全國不分區,女,臺灣團結聯盟,1,嘉義高工\國立高雄師範學院數學系肄業,高雄市議員\民生之聲廣播電台創辦人\高雄硫酸錏公司錏廠技術員\李登輝學校國政班結業,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81116.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/TUS.png/125px-TUS.png
