user_name,user_birthday,user_gender,party,electorate,category,onwork_title,reuslt,vote_date,period_start,period_end,note
李俊俋,,male,民主進步黨,嘉義市選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
葉宜津,,femal,民主進步黨,臺南市第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
黃偉哲,,male,民主進步黨,臺南市第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳亭妃,,femal,民主進步黨,臺南市第三選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
許添財,,male,民主進步黨,臺南市第四選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳唐山,,male,民主進步黨,臺南市第五選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
邱議瑩,,femal,民主進步黨,高雄市第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
邱志偉,,male,民主進步黨,高雄市第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
黃昭順,,male,中國國民黨,高雄市第三選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林岱樺,,femal,民主進步黨,高雄市第四選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
管碧玲,,femal,民主進步黨,高雄市第五選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
李昆澤,,male,民主進步黨,高雄市第六選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
趙天麟,,male,民主進步黨,高雄市第七選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
許智傑,,male,民主進步黨,高雄市第八選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林國正,,male,中國國民黨,高雄市第九選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
蘇震清,,male,民主進步黨,屏東縣第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
王進士,,male,中國國民黨,屏東縣第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
潘孟安,,male,民主進步黨,屏東縣第三選舉區,立委,,1,2012/1/14,2012/2/1,2014/12/25,辭職
莊瑞雄,,male,民主進步黨,屏東縣第三選舉區,立委,,1,2012/1/14,2015/2/16,2016/1/31,補選遞補
王廷升,,male,中國國民黨,花蓮縣選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
劉櫂豪,,male,民主進步黨,臺東縣選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
楊曜,,male,民主進步黨,澎湖縣選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
楊應雄,,male,中國國民黨,金門縣選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳雪生,,male,中國國民黨,連江縣選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
廖國棟,,male,中國國民黨,平地原住民選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
鄭天財,,male,中國國民黨,平地原住民選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林正二,,male,親民黨,平地原住民選舉區,立委,,1,2012/1/14,2012/2/1,2013/7/11,褫奪公權
孔文吉,,male,中國國民黨,山地原住民選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
高金素梅,,femal,無黨團結聯盟,山地原住民選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
簡東明,,male,中國國民黨,山地原住民選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
柯文哲,1959/8/6,male,無黨籍,臺北市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
朱立倫,1961/6/7,male,中國國民黨,新北市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
鄭文燦,1967/7/6,male,民主進步黨,桃園市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
林佳龍,1964/2/13,male,民主進步黨,臺中市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
賴清德,1959/10/6,male,民主進步黨,臺南市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
陳菊,1950/6/10,female,民主進步黨,高雄市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
林聰賢,1962/2/22,male,民主進步黨,宜蘭縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
邱鏡淳,1949/12/8,male,中國國民黨,新竹縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
徐耀昌,1955/6/30,male,中國國民黨,苗栗縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
魏明谷,1963/3/18,male,民主進步黨,彰化縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
林明溱,1951/2/13,male,中國國民黨,南投縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
李進勇,1951/8/1,male,民主進步黨,雲林縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
張花冠,1954/7/7,female,民主進步黨,嘉義縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
潘孟安,1963/8/15,male,民主進步黨,屏東縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
黃健庭,1959/11/6,male,中國國民黨,臺東縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
傅崐萁,1962/5/8,male,無黨籍,花蓮縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
陳光復,1955/10/25,male,民主進步黨,澎湖縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
陳福海,1963/6/3,male,無黨籍,金門縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
劉增應,1958/8/24,male,中國國民黨,連江縣,縣長,,1,2014/11/29,2014/12/25,2018/12/24,
林右昌,1971/3/10,male,民主進步黨,基隆市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
林智堅,1975/5/27,male,民主進步黨,新竹市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
涂醒哲,1951/6/17,male,民主進步黨,嘉義市,市長,,1,2014/11/29,2014/12/25,2018/12/24,
馬英九,1950/7/13,male,中國國民黨,台灣,總統,,1,2012/1/14,2012/5/20,2016/5/19,
吳敦義,1948/1/30,male,中國國民黨,台灣,副總統,,1,2012/1/14,2012/5/20,2016/5/19,
蔡英文,1956/8/31,female,民主進步黨,台灣,總統,,0,2012/1/14,,,
蘇嘉全,1956/10/22,male,民主進步黨,台灣,副總統,,0,2012/1/14,,,
宋楚瑜,1942/4/30,male,親民黨,台灣,總統,,0,2012/1/14,,,
林瑞雄,1940/12/17,male,親民黨,台灣,副總統,,0,2012/1/14,,,
